Features,PC1,PC2,PC3,PC4,PC5
child_mort,-0.4195194487129595,0.19288393671336337,-0.02954352545638603,0.37065326178967556,-0.16896968292843653
exports,0.283896981336656,0.6131634935912947,0.14476069039195283,0.003091019045960328,0.05761583805907704
health,0.15083782442941854,-0.243086779133558,-0.5966323651917057,0.4618974967691568,0.5180003688142608
imports,0.1614824418608023,0.6718206442214828,-0.29992674407819714,-0.07190746116193349,0.25537641663769717
income,0.3984411115713238,0.022535530204481263,0.30154750108377154,0.39215903936585295,-0.24714960213625806
inflation,-0.1931729269463327,-0.008404473304539556,0.6425195144555425,0.1504417623125354,0.7148691047260334
life_expec,0.42583938482856715,-0.22270674341888747,0.11391854110958194,-0.20379723463667673,0.108219800235721
total_fer,-0.4037289550283283,0.15523310571530574,0.019549248328588634,0.3783036451831836,-0.13526221100906952
gdpp,0.39264482415656254,-0.046022395915336106,0.12297748829950618,0.5319945749959046,-0.1801666216904805
